Modalidade;Transportadora;Cep Inicial;Cep Final;UF;    Frete    ;Prazo;     Peso Inicial     ;        Peso Final        ;  GRIS  ;ADVALOREM;ICMS;Taxa Peso Extra;Fator Cubagem;Origem
16;35;04338000;04385999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04386000;04387360;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04400000;04499999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04500000;04599990;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04600000;04699999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04700000;04799999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04801000;04865065;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;04900000;04948999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05000000;05099999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05100000;05179999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05180000;05187949;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05200000;05203999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05211000;05275010;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05275030;05283260;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05300000;05399999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05400000;05499999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05500000;05580999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05581000;05599999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05600000;05699999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05700000;05770999;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05771000;05790450;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05792000;05798350;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;05800000;05894460;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
16;35;06000000;06298970;SP; 7,50 ;2; 0,251 ; 0,500 ;0,003;0;0;0;0;3333
